Time (s),Channel 1 (V),Channel 2 (V)
-0.0009163794059405941,-0.04684879433886234,0.2899071538308014
-0.0009160494059405941,-0.04751961279594688,0.3083438057247753
-0.0009157194059405941,-0.04819043125303142,0.3230931272399544
-0.0009153894059405941,-0.04819043125303142,0.3415297791339284
-0.0009150594059405941,-0.04852584048157368,0.3525917702703127
-0.0009147294059405942,-0.0488612497101158,0.3710284221642783
-0.0009143994059405942,-0.04886124971011595,0.3857777436794591
-0.0009140694059405942,-0.04919665893865807,0.4005270651946383
-0.0009137394059405942,-0.04919665893865822,0.4189637170886105
-0.000913409405940594,-0.0495320681672008,0.4337130386038064
-0.000913079405940594,-0.05020288662428534,0.4521496904977787
-0.000912749405940594,-0.05087370508136973,0.4668990120129612
-0.000912419405940594,-0.05120911430991185,0.4890229942857249
-0.000912089405940594,-0.05120911430991185,0.5000849854221042
-0.000911759405940594,-0.05120911430991185,0.5185216373160781
-0.000911429405940594,-0.05154452353845412,0.5295836284524625
-0.000911099405940594,-0.05154452353845412,0.5480202803464365
-0.000910769405940594,-0.05221534199553866,0.5664569322404104
-0.000910439405940594,-0.05221534199553866,0.5775189233767947
-0.0009101094059405941,-0.05221534199553866,0.5922682448919738
-0.0009097794059405941,-0.0528861604526232,0.607017566407153
-0.0009094494059405941,-0.05221534199553866,0.6291415486799217
-0.0009091194059405941,-0.0528861604526232,0.6402035398163061
-0.0009087894059405941,-0.05255075122408093,0.65864019171028
-0.0009084594059405941,-0.05322156968116547,0.6697021828466644
-0.0009081294059405941,-0.05355697890970774,0.6881388347406383
-0.0009077994059405941,-0.05355697890970774,0.7028881562558175
-0.0009074694059405941,-0.05355697890970774,0.7213248081497914
-0.0009071394059405941,-0.05422779736679228,0.7397614600437653
-0.0009068094059405941,-0.05422779736679228,0.7545107815589445
-0.0009064794059405941,-0.05389238813825001,0.7692601030741236
-0.0009061494059405942,-0.05456320659533455,0.7876967549680975
-0.0009058194059405942,-0.05456320659533455,0.8098207372408561
-0.0009054894059405942,-0.05422779736679243,0.8245700587560387
-0.0009051594059405942,-0.05389238813825016,0.8356320498924248
-0.0009048294059405942,-0.05422779736679213,0.8466940410288091
-0.000904499405940594,-0.0545632065953347,0.8614433625439999
-0.000904169405940594,-0.05489861582387682,0.8761926840591774
-0.000903839405940594,-0.05489861582387667,0.8872546751955669
-0.000903509405940594,-0.05456320659533455,0.9093786574683321
-0.000903179405940594,-0.05456320659533455,0.9241279789835046
-0.000902849405940594,-0.05456320659533455,0.9388773004986838
-0.000902519405940594,-0.05422779736679228,0.9536266220138629
-0.000902189405940594,-0.05389238813825001,0.9683759435290421
-0.000901859405940594,-0.05422779736679228,0.9794379346654264
-0.0009015294059405941,-0.05422779736679228,1.00524924731699
-0.0009011994059405941,-0.05456320659533455,1.01262390807458
-0.0009008694059405941,-0.05456320659533455,1.034747890347348
-0.0009005394059405941,-0.05422779736679228,1.045809881483732
-0.0009002094059405941,-0.05389238813825001,1.060559202998912
-0.0008998794059405941,-0.05422779736679228,1.071621194135296
-0.0008995494059405941,-0.05389238813825001,1.093745176408065
-0.0008992194059405941,-0.05389238813825001,1.108494497923244
-0.0008988894059405941,-0.05355697890970774,1.123243819438423
-0.0008985594059405941,-0.05355697890970774,1.137993140953602
-0.0008982294059405941,-0.05355697890970774,1.149055132089987
-0.0008978994059405941,-0.05322156968116547,1.163804453605166
-0.0008975694059405942,-0.0528861604526232,1.18224110549914
-0.0008972394059405942,-0.05322156968116531,1.196990427014312
-0.0008969094059405942,-0.05355697890970759,1.215427078908284
-0.0008965794059405942,-0.05322156968116562,1.226489070044672
-0.0008962494059405942,-0.05288616045262335,1.241238391559849
-0.000895919405940594,-0.05322156968116547,1.252300382696247
-0.000895589405940594,-0.05322156968116516,1.267049704211425
-0.000895259405940594,-0.05255075122408062,1.278111695347811
-0.000894929405940594,-0.05187993276699608,1.292861016862988
-0.000894599405940594,-0.05120911430991185,1.303923007999368
-0.000894269405940594,-0.05154452353845412,1.322359659893341
-0.000893939405940594,-0.05087370508136958,1.329734320650931
-0.000893609405940594,-0.05087370508136958,1.348170972544905
-0.000893279405940594,-0.05053829585282731,1.366607624438879
-0.0008929494059405941,-0.05020288662428504,1.381356945954058
-0.0008926194059405941,-0.04919665893865822,1.396106267469237
-0.0008922894059405941,-0.0495320681672005,1.410855588984417
-0.0008919594059405941,-0.04886124971011595,1.421917580120801
-0.0008916294059405941,-0.04886124971011595,1.43666690163598
-0.0008912994059405941,-0.04886124971011595,1.451416223151159
-0.0008909694059405941,-0.04751961279594688,1.466165544666338
-0.0008906394059405941,-0.04684879433886234,1.480914866181517
-0.0008903094059405941,-0.04684879433886234,1.488289526939107
-0.0008899794059405941,-0.04651338511032007,1.499351518075491
